state,county,fips,od_count,opioid_claim_count,county_population,od_per_prescription,od_per_rx_rank,od_per_capita,rx_per_capita,od_per_capita_rank,rx_per_capita_rank
KY,Marshall County,21157,11,75964.0,30953,0.000144805434153,838,0.000355377507834,2.45417245501,71,1
WV,Brooke County,54009,13,54441.0,23530,0.000238790617366,786,0.000552486187845,2.31368465788,15,2
TN,Hawkins County,47073,11,119043.0,56735,9.24035852591e-05,846,0.00019388384595,2.09822860668,350,3
TN,Carter County,47019,10,99879.0,56886,0.000100121146587,845,0.000175790176845,1.75577470731,411,4
NC,Burke County,37023,27,153114.0,89486,0.000176339198244,826,0.000301723174575,1.71103859822,112,5
TN,Roane County,47145,23,69613.0,52748,0.000330398057834,690,0.000436035489497,1.31972776219,34,6
KY,Perry County,21193,12,36011.0,27597,0.000333231512593,686,0.000434829872812,1.30488821249,36,7
NC,Caldwell County,37027,14,103707.0,81484,0.000134995709065,843,0.000171812871239,1.2727283884,426,8
IL,Boone County,17007,10,67448.0,53869,0.000148262365081,837,0.000185635523214,1.25207447697,376,9
KY,Laurel County,21125,16,71564.0,60015,0.000223576099715,805,0.000266600016663,1.19243522453,175,10
KY,Whitley County,21235,16,41653.0,35503,0.000384125993326,631,0.00045066614089,1.1732247979,29,11
MO,Butler County,29023,13,48702.0,42972,0.000266929489549,764,0.000302522572838,1.13334264172,108,12
KY,Pike County,21195,33,71005.0,63034,0.000464756003098,521,0.000523526985436,1.12645556366,17,13
GA,Floyd County,13115,11,105708.0,96063,0.00010406024142,844,0.000114508187335,1.10040286062,674,14
KY,Bell County,21013,12,29934.0,27778,0.000400881940269,603,0.000431996544028,1.07761537908,37,15
MO,St. Francois County,29187,29,69919.0,65960,0.000414765657404,585,0.000439660400243,1.06002122498,33,16
TN,Loudon County,47105,15,53266.0,50771,0.000281605526978,740,0.00029544424967,1.04914222686,120,17
KY,McCracken County,21145,18,67983.0,65316,0.000264772075372,767,0.000275583318023,1.04083226162,149,18
KY,Floyd County,21071,23,39625.0,38108,0.000580441640379,414,0.000603547811483,1.03980791435,13,19
WV,Wayne County,54099,17,42455.0,41122,0.00040042397833,605,0.000413404017314,1.03241573853,47,20
VA,Carroll County,51035,10,30212.0,29621,0.000330994306898,689,0.000337598325512,1.01995206104,82,21
TN,Sullivan County,47163,40,158849.0,157047,0.000251811468753,778,0.000254700822047,1.01147427203,200,22
IN,Jackson County,18071,14,43758.0,43705,0.000319941496412,707,0.000320329481753,1.0012126759,94,23
AL,Etowah County,1055,18,103401.0,103531,0.000174079554356,827,0.000173860969178,0.998744337445,417,24
VA,Roanoke County,51161,17,90390.0,93785,0.00018807390198,819,0.00018126566082,0.963800181266,387,25
AL,Cullman County,1043,32,77979.0,81289,0.000410366893651,590,0.000393657198391,0.959281083541,54,26
TN,DeKalb County,47041,11,18231.0,19268,0.000603367889858,387,0.000570894747768,0.946180195142,14,27
KY,Boyd County,21019,16,46048.0,48832,0.000347463516331,669,0.000327653997379,0.942988204456,90,28
GA,Rockdale County,13247,13,82296.0,87754,0.000157966365315,833,0.000148141395264,0.937803404973,519,29
VA,Wise County,51195,11,37312.0,39935,0.000294811320755,729,0.000275447602354,0.934318267184,150,30
TN,Hamblen County,47063,23,57596.0,63036,0.000399333287034,607,0.000364870867441,0.913700107875,66,31
GA,Ware County,13299,15,32415.0,35515,0.000462748727441,524,0.000422356750669,0.912712938195,43,32
TN,Washington County,47179,21,114288.0,126242,0.000183746325073,823,0.000166347174474,0.905308851254,450,33
VA,Russell County,51167,10,24368.0,28023,0.000410374261326,589,0.000356849730578,0.869571423474,69,34
TN,Coffee County,47031,11,46437.0,53623,0.000236880074079,788,0.000205135855883,0.865990339966,310,35
KY,Pulaski County,21199,11,54556.0,63825,0.000201627685314,810,0.000172346259303,0.854774774775,424,36
AL,Escambia County,1053,14,32198.0,37733,0.000434809615504,567,0.000371028012615,0.853311425013,63,37
TN,McMinn County,47107,12,44657.0,52626,0.000268714871129,762,0.000228024170562,0.848572948733,252,38
NC,Moore County,37125,11,78320.0,93077,0.000140449438202,840,0.000118181720511,0.841453850038,659,39
OK,Creek County,40037,21,59006.0,70632,0.000355896010575,661,0.000297315664288,0.835400385095,118,40
TN,Franklin County,47051,12,34505.0,41402,0.000347775684683,668,0.00028984107048,0.833413844742,128,41
NC,Rutherford County,37161,11,55367.0,66600,0.000198674300576,813,0.000165165165165,0.831336336336,456,42
NC,Randolph County,37151,19,117797.0,142778,0.000161294430249,832,0.000133073722842,0.825036069983,586,43
AL,Walker County,1127,23,53943.0,65471,0.00042637598947,577,0.000351300575827,0.82392204182,73,44
WV,Hancock County,54029,15,24757.0,30112,0.000605889243446,381,0.000498140276302,0.82216392136,24,45
AL,Blount County,1009,16,47353.0,57719,0.000337887779021,680,0.000277205079783,0.820405758936,145,46
WV,Cabell County,54011,50,78928.0,97109,0.00063348874924,353,0.000514885335036,0.812777394474,20,47
NC,Catawba County,37035,34,125274.0,154534,0.000271405080064,755,0.000220016307091,0.810656554545,273,48
TN,Claiborne County,47025,14,25387.0,31592,0.000551463347383,432,0.000443150164599,0.803589516333,30,49
TN,Cheatham County,47021,16,31935.0,39764,0.000501017692187,477,0.000402374006639,0.803113368876,50,50
NC,Wilkes County,37193,30,54576.0,68838,0.000549692172383,434,0.000435805804933,0.792817920335,35,51
VA,Roanoke city,51770,13,78810.0,99428,0.00016495368608,830,0.000130747877861,0.792633865712,602,52
